order_id,customer_id,campaign_id,order_date,payment_method
5001,1001,1,2024-01-15,Karta
5002,1002,2,2024-01-18,Převod
5003,1003,1,2024-01-22,Dobírka
5004,1004,3,2024-02-01,PŘEVOD
5005,1005,2,2024-02-10,převod
5006,1006,4,2024-02-15,Karta
5007,1007,5,2024-03-01,DOBÍRKA
5008,1008,1,2024-03-05,Karta
5009,1009,3,2024-03-10,Převod
5010,1010,2,2024-03-15,Dobírka
5011,1011,1,2024-04-01,Karta
5012,1012,4,2024-04-08,PŘEVOD
5013,1013,5,2024-04-15,převod
5014,1014,2,2024-04-20,DOBÍRKA
5015,1015,1,2024-05-01,Karta
5016,1016,3,2024-05-10,Převod
5017,1017,4,2024-05-18,Dobírka
5018,1018,5,2024-05-25,Karta
5019,1019,1,2024-06-01,PŘEVOD
5020,1020,2,2024-06-08,převod
